movieId,country,certification
30,PT,M/12
30,DE,12
31,ES,7
31,IE,18
31,US,R
31,GB,15
31,NL,12
31,PT,M/12
31,DE,12
32,AU,M
32,IS,14
32,NO,15
32,GB,15
32,HU,16
32,MX,B-15
32,PT,M/12
32,FI,K-16
32,NZ,M
32,CA,13+
32,IT,T
32,AR,13
32,SG,NC-16
32,GR,15
32,DK,15
32,IE,15
32,ES,16
32,KR,15
32,BR,14
32,US,R
32,FR,U
32,DE,16
32,SE,15
32,NL,16
34,GB,U
34,US,G
34,PT,M/6
34,RU,0+
34,DK,7
34,DE,0
34,BR,L
34,AU,G
34,FR,U
34,NL,6
34,IE,G
34,SE,7
35,US,R
35,DE,12
35,GB,18
36,IE,18
36,GB,15
36,DE,12
36,IT,T
36,NL,16
36,BR,16
36,PT,M/12
38,US,PG
38,ES,APTA
38,DE,0
39,DE,6
39,AU,M
39,US,PG-13
39,GB,12
39,NL,AL
40,US,PG-13
41,GB,15
41,US,R
41,DE,16
42,GB,18
42,DE,18
42,US,R
43,US,R
43,GR,16
43,GB,15
43,AU,M
44,MX,B
44,GB,15
44,FR,U
44,IE,15
44,US,PG-13
44,IT,T
44,DE,16
44,ES,12
44,AU,M
45,HU,16
45,PT,M/16
45,US,R
45,DE,12
45,ES,12
45,AU,MA15+
46,GB,12
46,US,PG-13
46,PT,M/12
46,DE,6
47,GB,18
47,IT,T
47,ES,18
47,PT,M/16
47,FI,K-16
47,SE,15
47,DE,16
47,US,R
47,DK,15
47,NL,16
47,FR,12
47,BR,16
48,GB,U
48,KR,ALL
48,PT,M/6
48,US,G
48,AU,G
48,BR,L
48,FR,U
48,SE,7
48,IL,הותר לכול
48,GR,G
48,IT,T
48,DK,7
48,DE,0
48,ES,7
50,GB,18
50,HU,16
50,BR,16
50,US,R
50,PT,M/16
50,MX,B
50,FR,16
50,DE,16
50,NL,12
50,GR,16
50,DK,15
50,AU,MA15+
50,KR,18
50,ES,18
52,US,R
52,DE,12
52,ES,APTA
52,BR,12
52,FR,U
54,US,PG
54,GB,U
55,US,R
57,DE,12
57,US,PG-13
57,DK,7
58,FR,U
58,NL,6
58,PT,M/12
60,US,PG
60,GB,PG
61,US,R
61,GB,18
61,DE,16
62,AU,PG
62,DE,6
62,PT,M/12
62,US,PG
63,NL,12
63,DE,12
63,ES,12
63,US,R
64,US,R
64,DE,6
65,DE,6
65,US,PG-13
65,GB,12
66,DE,16
66,US,PG-13
67,FR,U
68,US,R
69,DE,16
69,AU,MA15+
69,US,R
69,GB,15
70,ES,18
70,DE,18
70,NL,16
70,US,R
70,FR,16
70,BR,18
70,AU,R18+
70,NZ,18
70,CA,18A
70,GB,18
70,IT,VM18
70,HU,18
71,DE,16
71,AU,M
71,US,R
71,HU,16
71,BR,14
72,US,R
72,FR,U
74,US,PG
74,DE,6
75,US,PG
76,GB,18
76,HU,16
76,DE,16
76,US,R
78,DE,16
78,US,R
78,GB,15
79,DE,16
79,AU,M
79,IE,18
79,NL,12
79,HU,18
79,US,R
81,GB,18
81,GR,16
81,US,R
81,DE,16
81,SE,15
81,NL,16
82,US,R
84,US,R
86,GR,13
86,US,PG-13
86,DE,12
86,FR,16
86,AU,M
87,AU,G
87,DE,0
87,US,PG
88,NO,11
88,GB,12
88,US,PG-13
88,DE,12
89,FR,U
89,HU,16
89,US,R
89,DE,16
92,DE,16
92,GB,15
92,US,R
93,AU,MA15+
93,DE,16
93,ES,12
93,US,R
93,GB,15
94,US,R
94,DE,12
95,AU,M
95,DE,16
95,ES,18
95,NL,12
95,US,R
95,PT,M/12
95,HU,16
95,GB,15
95,IE,18
97,DE,12
97,FI,K-16
97,FR,U
97,NL,12
97,SE,15
97,IT,VM14
97,HU,16
97,GB,15
97,US,NR
97,PT,M/18
97,BR,16
97,ES,18
97,AU,MA15+
97,KR,18
97,IE,15
97,RU,18+
99,GB,15
99,US,R
100,US,R
100,GB,15
100,DE,12
101,NL,12
101,US,R
101,AU,M
102,US,PG-13
103,DE,16
103,US,R
104,DE,6
104,FR,10
104,SE,11
104,GB,12
104,NL,6
104,US,PG-13
104,AU,M
105,ES,APTA
105,US,PG-13
105,PT,M/12
105,GB,12
105,GR,13
105,IT,T
105,NL,AL
105,AU,MA15+
105,FR,U
105,DE,12
107,GB,U
107,IE,G
107,ES,APTA
107,DE,0
107,AU,G
107,PT,M/6
107,DK,7
107,US,G
110,IT,T
110,DE,16
110,MX,C
110,GB,15
110,PT,M/12
110,FI,K-16
110,GR,16
110,NL,16
110,DK,15
110,ES,18
110,US,R
110,AU,MA15+
110,BR,16
110,FR,U
110,SE,15
111,US,R
111,KR,18
111,IE,18
111,BR,14
111,GB,18
111,PT,M/18
111,NL,16
111,SE,15
111,IT,VM14
111,DE,16
111,RU,18+
111,DK,15
111,ES,18
111,AU,R18+
112,ES,18
112,DE,16
112,AU,M
112,NL,12
112,SE,15
112,US,R
112,PT,R
113,PT,M/12
113,US,PG-13
116,NL,AL
116,US,PG
118,US,R
119,US,PG-13
120,DE,6
120,US,PG
121,AU,MA15+
121,NL,12
122,DE,16
122,AU,M
122,US,R
122,NL,12
122,GB,15
122,FR,U
123,KR,15
123,HK,IIB
123,RU,18+
123,NL,16
123,FI,K-12
125,DE,12
125,US,R
125,FR,U
126,BR,L
126,PL,b/o
126,GB,U
126,FR,U
126,US,G
126,PT,M/12
126,DE,6
126,AU,G
132,US,R
132,GB,18
132,DE,16
132,FR,12
135,DE,12
135,ES,APTA
135,AU,M
135,US,PG-13
135,DK,7
137,US,NR
140,GR,16
140,US,PG-13
140,AU,M
140,DE,12
141,DE,12
141,ES,APTA
141,PT,M/12
141,US,R
141,GB,15
141,SE,Btl
141,FR,U
141,AU,M
144,US,R
145,IT,T
145,PT,M/16
145,GB,18
145,AU,MA15+
145,NL,16
145,SE,15
145,DE,18
145,FR,12
145,US,R
145,BR,14
145,ES,18
145,IE,18
145,DK,15
146,NL,AL
147,KR,청소년관람불가
147,GB,18
147,US,R
147,DE,12
148,US,R
150,IT,T
150,CA,PG
150,PT,M/12
150,ZA,PG
150,GB,PG
150,AU,PG
150,NL,AL
150,SE,7
150,DE,12
150,FR,U
150,US,PG
150,BR,12
150,ES,APTA
150,DK,15
151,AU,M
151,SE,15
151,GB,15
151,PT,M/14
151,US,R
151,GR,16
151,IT,T
151,DE,16
152,US,R
153,ES,12
153,PT,M/12
153,GR,PG
153,SE,11
153,FI,K-12
153,DE,12
153,BG,C
153,DK,11
153,US,PG-13
153,NL,6
153,IE,12A
153,FR,U
153,BR,10
153,AU,PG
153,CA,G
153,IT,T
153,GB,12
153,HU,12
153,MX,B
154,NL,16
154,BR,16
155,US,R
156,HU,12
156,DE,12
157,US,PG
157,SE,15
157,FR,U
158,AU,PG
158,BR,L
158,NL,6
158,SE,7
158,DK,7
158,PT,M/6
158,US,PG
158,GB,PG
158,ES,APTA
159,GB,18
159,FR,16
159,PT,M/16
159,US,R
159,DE,16
159,ES,18
160,AU,M
160,DE,12
160,GB,12
160,US,PG-13
161,DE,12
161,IT,T
161,US,R
161,GB,15
161,NL,12
161,HU,12
161,IE,12
161,PT,M/12
161,GR,13
162,US,R
163,BR,14
163,FR,12
163,HU,18
163,GB,18
163,CZ,15
163,NL,16
163,US,R
163,PT,M/16
163,AU,R18+
163,DE,18
164,AU,M
164,DE,16
164,US,R
164,PT,M/14
164,FR,U
165,BR,12
165,ES,18
165,AU,M
165,IE,15
165,GR,16
165,CZ,12
165,DK,15
165,DE,16
165,FI,K-16
165,NL,12
165,CA,18A
165,SE,15
165,GB,15
165,HU,16
165,US,R
165,PT,M/12
166,US,NC-17
168,GB,PG
168,NL,12
168,PT,M/12
168,US,PG-13
168,AU,M
168,DE,12
168,ES,12
168,FR,12
168,CZ,12
169,NL,6
169,DE,6
169,US,PG
169,DK,A
169,GB,U
170,BR,L
170,AU,M
170,ES,16
170,DE,12
170,US,PG-13
170,GB,12
170,NL,12
170,FR,12
171,DE,16
171,US,R
171,GB,15
171,FR,16
172,GB,15
172,SE,15
172,NL,12
172,HU,16
172,AU,M
172,IT,T
172,DE,18
172,US,R
172,GR,16
173,US,R
173,GB,15
173,AU,M
173,IT,T
173,DE,16
173,BR,16
173,FR,12
174,DE,12
174,US,PG-13
175,NL,16
175,FR,12
175,IT,VM18
175,US,NR
175,DE,16
175,GB,18
176,DE,12
176,US,R
177,DE,18
177,US,R
178,FR,12
179,US,PG-13
180,US,R
180,GB,15
180,NL,6
180,AU,MA15+
180,DE,12
180,IE,15
181,IT,T
181,NL,6
181,US,PG
181,HU,KN
181,GB,PG
182,DE,6
182,US,R
182,NL,6
183,US,R
183,DE,16
183,ES,18
184,DE,16
185,GB,12
185,SE,15
185,AU,M
185,ES,12
185,PT,M/12
185,IE,PG-13
185,FR,U
185,HU,12
185,BR,12
185,DE,12
185,NL,12
185,US,PG-13
185,BG,C
186,AU,M
186,GB,12
186,FR,U
186,PT,M/12
186,US,PG-13
186,DE,6
187,US,R
188,DE,18
188,US,R
188,NL,16
188,GB,18
190,FR,U
190,NL,12
190,PT,M/12
190,US,R
191,FR,U
191,US,R
191,DE,12
191,BR,16
193,NL,12
193,ES,18
193,FR,12
193,HU,18
193,US,NC-17
193,GB,18
193,PT,M/18
193,GR,18
193,IT,VM14
193,DE,16
194,DE,12
194,US,R
194,NL,6
194,BR,12
195,US,R
195,GB,15
195,PT,M/12
195,DE,6
195,FR,U
196,HU,16
196,GB,18
196,AU,MA15+
196,NO,15
196,DE,16
196,SE,15
196,NL,16
196,US,R
196,IE,18
196,ES,12
198,GR,16
198,GB,18
198,HU,18
198,US,R
198,AU,R18+
198,DE,16
198,ES,18
198,IE,18
198,NL,16
199,US,PG-13
199,IE,G
199,NL,AL
199,DE,6
199,KR,12세 이상 관람가
199,SE,Btl
199,FR,12
200,US,R
201,US,PG
202,US,R
202,GR,18
202,IT,14
202,GB,18
203,DE,12
203,ES,APTA
203,US,PG-13
203,FR,U
203,GB,PG
204,GB,18
204,HU,16
204,DE,18
204,ES,18
204,AU,MA15+
204,DK,15
204,US,R
206,US,R
207,GB,PG
207,FR,12
207,IE,PG-13
207,BR,12
207,MX,B
207,DE,6
207,AU,PG
207,US,PG-13
207,PT,M/12
208,DE,12
208,FR,U
208,NL,12
208,SE,15
208,IT,T
208,GB,12
208,US,PG-13
208,PT,M/12
208,BR,12
208,ES,7
208,AU,M
208,GR,13
209,IT,Film per Tutti
209,FR,U
209,US,R
210,DE,16
210,US,R
211,NL,AL
212,US,PG
212,DE,12
213,CA,R
214,FR,U
215,GR,16
215,GB,15
215,TW,普遍級
215,US,R
215,PT,M/12
215,BR,14
215,DE,6
215,AU,M
215,KR,15
215,NL,AL
216,NO,11
216,AU,M
216,CA,G
216,US,PG-13
216,GB,12
216,DE,6
217,US,R
218,US,R
218,DE,12
218,SE,11
219,NL,6
219,US,PG-13
220,DE,18
220,US,R
222,US,PG-13
223,AU,MA15+
223,NO,15
223,ES,18
223,FR,U
223,US,R
223,DE,12
223,GB,18
224,GR,16
224,SE,11
224,NL,6
224,DE,12
224,BR,12
224,PT,M/12
224,US,PG-13
224,MX,B
225,GR,16
225,GB,18
225,FI,K-14
225,FR,10
225,HU,18
225,BR,18
225,IE,18
225,DE,12
225,ES,18
225,AU,R18+
225,PT,M/16
225,US,R
225,NL,12
227,NL,16
227,HU,16
227,GB,15
227,US,R
227,AU,M
227,DE,16
228,US,R
229,HU,16
229,NL,12
229,ES,18
229,DE,12
230,US,R
230,GB,18
230,NL,12
230,DE,12
231,ES,7
231,IE,15
231,RU,16+
231,GR,12
231,NL,6
231,SE,11
231,DE,12
231,FR,U
231,US,PG-13
231,BR,12
231,AU,PG
231,IT,T
231,PT,M/12
231,NZ,PG
231,GB,12
232,US,PG-13
232,AU,PG
232,FR,U
232,NL,AL
233,PT,M/16
233,US,R
234,US,R
234,DE,16
235,IT,T
235,NL,6
235,DE,12
235,FR,U
235,BR,14
235,US,R
235,GB,15
236,GB,15
236,US,PG-13
236,AU,PG
236,DE,6
236,PT,M/12
237,SE,Btl
237,US,PG-13
237,DE,12
238,AU,G
238,PT,M/6
238,US,PG
238,GB,U
239,IE,G
239,AU,G
239,US,G
239,ES,APTA
239,MX,AA
239,NO,A
239,GR,G
239,DK,A
239,FR,U
239,FI,S
239,DE,0
239,IT,T
239,SE,7
239,GB,U
240,US,R
241,DE,0
241,US,PG
242,DE,12
242,PT,M/12
243,US,G
244,US,G
245,US,PG-13
246,GB,12
246,NL,12
246,US,PG-13
247,US,R
247,GB,18
247,NL,16
247,DE,16
247,AU,M
247,BR,16
248,US,PG
249,PT,M/12
249,KR,15세 이상 관람가
249,SE,15
249,BR,e 14
249,IT,T
249,NL,12
249,US,R
250,CA,PG
250,US,PG
251,DE,18
251,US,R
251,HU,16
252,US,PG
252,GB,U
252,NL,6
252,DE,6
253,US,R
253,PT,M/16
253,AU,MA15+
253,NZ,16
253,BR,14
253,FR,12
253,IT,VM14
253,NL,16
253,DE,16
253,ES,18
253,MX,C
253,PL,15
253,GB,18
254,US,PG-13
255,US,R
256,US,PG-13
256,PT,M/12
256,AU,PG
256,DE,6
256,BR,14
256,GB,PG
257,GB,18
257,HU,16
257,US,R
257,PT,M/16
257,DE,16
257,ES,18
258,FR,U
258,GB,PG
258,US,PG
259,GR,15
259,GB,18
259,DE,16
260,IT,T
260,GB,U
260,MX,AA
260,FI,K-12
260,ES,7
260,DK,11
260,NL,12
260,KR,12
260,CA,PG
260,AU,PG
260,US,PG
260,BG,C
260,BR,10
260,DE,12
260,HU,12
260,PT,M/12
260,SE,11
261,GB,U
261,NL,6
261,SE,Btl
261,BR,L
261,DE,6
261,PT,M/6
261,US,PG
262,MX,AA
262,US,G
262,NL,AL
262,GB,U
263,DE,12
263,NL,12
263,GB,18
264,DE,16
265,NL,6
265,PT,M/12
265,US,R
265,SE,15
266,DE,12
266,CA,14A
266,ES,12
266,BR,14
266,SE,15
266,PT,M/12
266,US,R
266,NZ,M
266,RU,18+
266,IE,18
266,GB,15
266,GR,16
266,NL,12
266,DK,15
267,AU,PG
267,US,PG-13
267,NL,12
267,DE,12
269,US,R
270,PT,M/12
271,NL,12
271,US,R
272,DE,12
272,US,PG-13
272,GB,PG
273,HU,16
273,PT,M/16
273,US,R
273,IE,15
273,DE,16
273,ES,18
273,BR,14
273,GB,15
273,CZ,15
273,FR,12
274,US,PG
274,DE,6
275,DE,12
275,US,PG-13
275,NL,6
276,DE,6
276,US,PG-13
277,ES,APTA
277,DE,6
277,IE,G
277,FR,U
277,GB,U
277,NL,AL
277,US,PG
277,AU,G
278,DE,0
279,US,R
279,DE,12
280,GB,15
280,NL,16
280,DE,16
280,US,R
280,GR,16
281,DE,6
281,GR,16
281,US,R
282,FR,U
282,US,PG-13
282,PT,M/12
282,DE,12
283,DE,12
288,US,R
288,FR,16
288,AU,R18+
288,DE,18
288,PT,M/18
288,IT,VM14
288,IE,18
288,NL,16
288,GB,18
288,DK,15
288,BR,18
289,GB,PG
289,NL,6
289,DE,6
289,PT,M/12
289,US,PG
290,DE,16
290,AU,MA15+
290,NL,16
290,HU,16
290,US,R
292,PT,M/12
292,NL,12
292,BR,16
292,AU,M
292,ES,12
292,DE,12
292,US,R
292,GB,15
293,NL,16
293,SE,15
293,US,R
293,BR,14
293,TW,輔15
293,ES,18
293,IE,18
293,RU,16+
293,DK,15
293,AR,16
293,IT,T
293,JP,PG-12
293,PH,R-18
293,FI,K-18
293,PT,M/16
293,IN,A
293,HU,18
293,GB,15
293,NO,18
293,AU,R18+
294,US,R
294,DE,12
296,PT,M/16
296,NZ,18
296,CZ,18
296,FI,18
296,IT,VM18
296,DE,16
296,MX,C
296,GB,18
296,US,R
296,AU,R18+
296,BR,18
296,SE,15
296,FR,16
296,DK,15
296,GR,16
296,NL,16
296,ES,18
296,RU,18+
296,KR,18
297,AU,MA15+
297,GB,15
299,NL,12
299,SE,15
300,US,PG-13
300,GB,15
300,NL,AL
300,PT,M/12
300,AU,M
300,DE,6
301,US,PG-13
302,DE,16
302,GB,18
302,NL,16
303,US,R
303,PT,M/12
303,BR,14
303,GB,15
303,GR,16
303,HU,16
303,NL,16
303,IT,T
303,DE,16
303,AU,MA15+
304,US,PG
305,HU,16
305,US,R
305,GB,15
305,DE,6
306,FI,K-12
306,SE,11
306,BR,16
306,ES,APTA
306,DE,6
306,US,R
306,GB,15
306,NL,6
307,BR,16
307,ES,12
307,SE,11
307,FI,K-12
307,IE,18
307,US,R
307,DE,12
307,GB,15
307,NL,12
308,GB,15
308,SE,11
308,NL,12
308,BR,16
308,FI,K-12
308,DE,12
308,ES,18
308,AU,M
308,US,R
310,US,G
313,AU,G
313,DE,0
313,ES,APTA
313,NL,6
313,DK,7
313,US,G
315,DE,16
315,AU,MA15+
315,US,R
315,GB,18
315,HU,16
315,BR,16
316,GR,PG
316,GB,PG
316,IT,T
316,NO,15 år
316,FR,U
316,AU,PG
316,SE,11
316,DE,12
316,DK,15
316,NL,6
316,PT,M/12
316,US,NR
316,HU,12
317,SE,Btl
317,NL,AL
317,AU,G
317,FR,U
317,DE,0
317,IE,PG
317,ES,APTA
317,US,PG
317,GB,U
318,BR,16
318,FR,U
318,IE,15
318,DK,15
318,US,R
318,DE,12
318,NL,12
318,TW,15+
318,RU,16+
318,PL,15
318,CZ,12
318,KR,15
318,SE,15
318,FI,K-16
318,PT,M/16
318,GR,16
318,ES,12
318,MX,B
318,IN,U
318,JP,PG-12
318,HU,16
318,TR,15+
318,PE,14
318,IT,T
318,GB,15
318,CA,14A
318,PH,R-13
318,NO,15
318,SK,12
318,AR,13
318,UY,16
318,AU,MA15+
319,NL,16
319,GB,18
319,PT,M/18
319,US,R
319,FR,12
319,IE,12
319,DE,16
320,GB,15
320,NL,16
321,SE,11
321,DE,12
322,US,R
322,DE,16
324,US,R
325,US,R
325,DE,12
326,FR,U
327,GB,15
327,HU,16
327,DE,16
327,AU,M
327,US,R
328,US,R
328,DE,18
328,GB,18
329,US,PG
329,GB,PG
329,GR,PG
329,PT,M/12
329,NL,12
329,AU,PG
329,ES,APTA
329,DE,12
329,BR,L
329,FR,U
329,HU,12
330,US,R
332,DE,16
332,ES,12
332,PT,M/16
332,US,R
332,GB,15
333,GB,12
333,US,PG-13
333,DE,12
333,FR,12
333,AU,M
333,NL,AL
334,US,PG
334,DE,6
335,DE,16
335,US,R
336,US,R
337,AU,PG
337,DE,6
337,GB,12
337,US,PG-13
337,NL,6
337,IE,12
337,SE,11
337,BR,12
338,SE,15
338,NL,16
338,AU,MA15+
338,US,R
338,GB,15
338,DE,16
339,HU,12
339,GB,PG
339,SE,7
339,PT,M/12
339,IE,12
339,FR,U
339,DE,6
339,US,PG
339,NL,6
340,DE,12
340,FR,U
340,US,PG-13
342,US,R
342,FR,10
342,AU,M
342,DE,12
342,SE,11
342,BR,e 16
342,PT,M/12
343,US,PG
344,FR,U
344,GR,13
344,DK,11
344,SE,11
344,IE,15
344,NO,11 år
344,AU,M
344,DE,12
344,ES,18
344,US,PG-13
344,GB,12
345,GB,15
345,SE,11
345,FR,U
345,US,R
345,PT,M/16
345,NL,12
345,DE,16
345,AU,M
346,US,R
346,ES,12
347,DE,16
347,HU,18
347,GB,18
347,US,R
347,GR,16
347,NL,16
348,DE,12
348,US,R
348,GR,16
349,AU,M
349,US,PG-13
349,PT,M/12
349,CZ,12
349,SE,15
349,BR,12
349,FR,U
349,DE,12
349,NL,12
349,GB,12
349,HU,16
350,AU,M
350,BR,14
350,FI,K-16
350,IE,PG-13
350,GB,15
350,US,PG-13
350,ES,12
350,DE,12
351,ES,APTA
351,US,PG
351,GB,U
351,DE,6
351,FR,10
352,DE,6
352,US,PG-13
353,HU,16
353,GB,18
353,GR,15
353,IT,T
353,PT,M/18
353,US,R
353,BR,16
353,DE,18
353,FR,16
353,AU,MA15+
353,ES,18
353,NL,16
353,IE,18
354,DE,18
354,US,R
355,GB,U
355,HU,KN
355,BR,L
355,US,PG
355,PT,M/6
355,AU,G
355,DE,0
355,SE,7
355,IT,T
356,GR,12
356,HU,12
356,IT,T
356,GB,12
356,NO,12
356,AU,M
356,BR,14
356,DE,12
356,DK,11
356,US,PG-13
356,NL,12
356,SE,11
356,FI,K-12
356,RU,12+
356,ES,APTA
356,RO,16+
356,PT,M/12
357,CZ,12
357,HK,II
357,AU,M
357,ES,12
357,GB,15
357,US,R
357,PT,M/12
357,FR,U
357,DE,6
357,CA,G
357,IT,T
357,SE,7
357,NL,6
358,US,R
358,AU,MA15+
358,DE,16
358,FR,U
359,US,R
360,GB,PG
360,FR,U
360,HU,12
360,US,PG
360,DE,12
361,DE,6
361,FR,U
361,GB,PG
361,GR,12
361,NL,6
361,PT,M/12
361,US,PG
362,US,PG
362,DE,6
363,US,NR
364,IT,T
364,MX,AA
364,GB,U
364,NL,6
364,DK,7
364,ES,APTA
364,KR,ALL
364,US,G
364,AU,G
364,BR,L
364,FR,U
364,IL,הותר לכול
364,DE,0
364,PT,M/6
364,RU,0+
364,SE,7
365,FR,U
365,HU,12
365,DE,6
365,US,PG
366,FR,12
366,US,R
366,PT,M/16
366,DE,18
366,BR,14
366,HU,18
366,FI,K-15
366,GB,15
367,SE,11
367,ES,12
367,GB,PG
367,US,PG-13
367,PT,M/12
367,AU,PG
367,FR,U
367,DE,12
367,CA,G
367,BR,12
367,IE,12
367,NL,6
368,FR,U
368,DE,12
368,GB,PG
368,BR,12
368,US,PG
368,PT,M/12
368,AU,PG
369,US,R
370,DE,12
370,ES,12
370,DK,11
370,NL,6
370,IT,T
370,GB,12
370,IE,15
370,RU,0+
370,AU,PG
370,US,PG-13
370,SE,11
370,FR,U
370,BR,L
371,DE,12
371,BR,12
371,US,R
372,AU,M
372,DE,12
372,NL,AL
372,US,PG-13
372,HU,12
372,SE,7
373,DE,16
373,IT,T
373,GB,15
373,HU,16
373,AU,M
373,US,R
373,PT,M/12
373,AR,13
373,SE,15
374,PT,M/6
374,DE,6
374,NL,6
374,NO,A
374,GB,PG
374,US,PG
375,US,PG-13
376,DE,12
376,BR,12
376,US,PG-13
376,FR,U
376,IE,PG-13
377,NL,12
377,IT,T
377,CA,A
377,DE,16
377,ES,18
377,MX,B
377,GB,15
377,IE,15
377,HU,16
377,PT,M/12
377,US,R
377,AU,M
377,BR,14
377,SE,15
378,US,PG-13
379,DE,16
379,IE,18
379,FR,U
379,US,R
379,GB,18
379,NL,16
379,IT,T
379,AU,MA15+
379,ES,18
380,NO,15
380,GB,15
380,DE,16
380,CZ,12
380,PT,M/12
380,NL,16
380,GR,16
380,ES,18
380,BR,14
380,FR,U
380,SE,15
380,US,R
380,AU,M
381,DE,12
381,US,R
381,IT,T
381,PT,M/12
382,DE,16
382,ES,12
382,AU,M
382,PT,M/12
382,US,R
382,GR,13
382,GB,15
382,NL,12
382,HU,16
382,IE,18
383,DE,12
383,PT,M/12
383,US,PG-13
383,GR,13
383,IT,T
383,CZ,12
383,GB,12
383,NL,12
384,US,R
384,DE,16
386,US,R
387,DE,18
387,NO,15
387,US,R
388,US,NR
390,DE,18
390,US,NR
390,NL,16
390,FR,12
391,US,R
393,IT,T
393,US,PG-13
393,PT,M/12
393,AU,M
393,DE,16
393,ES,18
393,HU,12
393,FR,U
393,GB,12
394,DE,18
405,US,R
405,GB,15
405,NL,16
405,AU,MA15+
405,GR,15
405,DE,16
405,BR,12
405,FR,U
405,HU,16
407,US,R
407,PT,M/16
407,NL,16
407,DE,16
407,IE,18
407,FR,12
408,DE,12
408,US,PG-13
408,GB,PG
409,GB,15
409,US,R
409,DE,12
409,AU,MA15+
410,NL,12
410,SE,11
410,DE,12
410,FR,U
410,US,PG-13
410,PT,M/12
410,AU,PG
410,GB,PG
410,MX,A
410,BR,12
412,GR,13
412,GB,U
412,FR,U
412,NL,AL
412,TR,PG
412,HU,12
412,DE,6
412,US,PG
412,PT,M/12
413,ES,18
413,BR,12
413,US,PG-13
413,PT,M/12
413,GB,15
413,HU,12
413,NO,15
413,AU,M
413,FR,U
413,DE,12
414,US,PG
414,AU,PG
414,ES,PG
414,DE,6
414,GB,PG
415,GB,PG
415,US,PG-13
415,DE,12
416,DE,12
416,HU,16
416,FR,U
416,US,R
417,US,PG-13
418,PT,M/12
