directorId,name,birthYear,deathYear
nm0000269,Jean-Jacques Annaud,1943.0,
nm0000270,Gabrielle Anwar,1970.0,
nm0000273,Alan Arkin,1934.0,
nm0000274,David Arquette,1971.0,
nm0000275,Rosanna Arquette,1959.0,
nm0000277,Richard Attenborough,1923.0,2014.0
nm0000278,Pernilla August,1958.0,
nm0000299,Michael Biehn,1956.0,
nm0000316,Mel Brooks,1926.0,
nm0000318,Tim Burton,1958.0,
nm0000320,Luis Buñuel,1900.0,1983.0
nm0000329,Jackie Chan,1954.0,
nm0000332,Don Cheadle,1964.0,
nm0000338,Francis Ford Coppola,1939.0,
nm0000339,Roger Corman,1926.0,
nm0000341,Michael Crichton,1942.0,2008.0
nm0000343,David Cronenberg,1943.0,
nm0000345,Billy Crystal,1948.0,
nm0000352,Vincent D'Onofrio,1959.0,
nm0000361,Brian De Palma,1940.0,
nm0000362,Danny DeVito,1944.0,
nm0000365,Julie Delpy,1969.0,
nm0000367,Gérard Depardieu,1948.0,
nm0000369,Matt Dillon,1964.0,
nm0000380,Robert Duvall,1931.0,
nm0000381,Anthony Edwards,1962.0,
nm0000382,Atom Egoyan,1960.0,
nm0000386,Roland Emmerich,1955.0,
nm0000387,Robert Englund,1947.0,
nm0000389,Emilio Estevez,1962.0,
nm0000391,Rupert Everett,1959.0,
nm0000398,Sally Field,1946.0,
nm0000399,David Fincher,1962.0,
nm0000401,Laurence Fishburne,1961.0,
nm0000406,John Ford,1894.0,1973.0
nm0000408,Jonathan Frakes,1952.0,
nm0000410,Stephen Fry,1957.0,
nm0000412,Andy Garcia,1956.0,
nm0000416,Terry Gilliam,1940.0,
nm0000417,Crispin Glover,1964.0,
nm0000419,Jean-Luc Godard,1930.0,
nm0000420,Valeria Golino,1965.0,
nm0000421,Cuba Gooding Jr.,1968.0,
nm0000425,Peter Greenaway,1942.0,
nm0000428,D.W. Griffith,1875.0,1948.0
nm0000430,Steve Guttenberg,1958.0,
nm0000431,Taylor Hackford,1944.0,
nm0000435,Daryl Hannah,1960.0,
nm0000436,Curtis Hanson,1945.0,2016.0
nm0000437,Woody Harrelson,1961.0,
nm0000438,Ed Harris,1950.0,
nm0000450,Philip Seymour Hoffman,1967.0,2014.0
nm0000454,Dennis Hopper,1936.0,2010.0
nm0000455,John Hughes,1950.0,2009.0
nm0000459,Timothy Hutton,1960.0,
nm0000463,Famke Janssen,1964.0,
nm0000464,Jim Jarmusch,1953.0,
nm0000466,Jean-Pierre Jeunet,1953.0,
nm0000473,Diane Keaton,1946.0,
nm0000474,Michael Keaton,1951.0,
nm0000484,John Landis,1950.0,
nm0000485,Fritz Lang,1890.0,1976.0
nm0000487,Ang Lee,1954.0,
nm0000490,Spike Lee,1957.0,
nm0000493,Jack Lemmon,1925.0,2001.0
nm0000498,Matthew Lillard,1970.0,
nm0000500,Richard Linklater,1960.0,
nm0000513,William H. Macy,1950.0,
nm0000517,Terrence Malick,1943.0,
nm0000518,John Malkovich,1953.0,
nm0000519,David Mamet,1947.0,
nm0000520,Michael Mann,1943.0,
nm0000521,Sophie Marceau,1966.0,
nm0000524,Mary Stuart Masterson,1966.0,
nm0000527,Walter Matthau,1920.0,2000.0
nm0000540,Russ Meyer,1922.0,2004.0
nm0000551,Dermot Mulroney,1963.0,
nm0000552,Eddie Murphy,1961.0,
nm0000559,Leonard Nimoy,1931.0,2015.0
nm0000568,Frank Oz,1944.0,
nm0000570,Alan Parker,1944.0,2020.0
nm0000576,Sean Penn,1960.0,
nm0000578,Anthony Perkins,1932.0,1992.0
nm0000581,Joseph L. Mankiewicz,1909.0,1993.0
nm0000583,Wolfgang Petersen,1941.0,
nm0000586,Jada Pinkett Smith,1971.0,
nm0000591,Roman Polanski,1933.0,
nm0000594,Jason Priestley,1969.0,
nm0000600,Sam Raimi,1959.0,
nm0000601,Harold Ramis,1944.0,2014.0
nm0000602,Robert Redford,1936.0,
nm0000603,Vanessa Redgrave,1937.0,
nm0000608,Burt Reynolds,1936.0,2018.0
nm0000614,Alan Rickman,1946.0,2016.0
nm0000619,Tim Roth,1961.0,
nm0000625,Fred Savage,1976.0,
nm0000626,John Sayles,1950.0,
nm0000630,Liev Schreiber,1967.0,
nm0000631,Ridley Scott,1937.0,
nm0000635,Yahoo Serious,1953.0,
nm0000638,William Shatner,1931.0,
nm0000640,Martin Sheen,1940.0,
nm0000641,Gary Sinise,1955.0,
nm0000647,Alan Smithee,,
nm0000655,Eric Stoltz,1961.0,
nm0000659,Barbra Streisand,1942.0,
nm0000662,Kiefer Sutherland,1966.0,
nm0000670,Lea Thompson,1961.0,
nm0000671,Billy Bob Thornton,1955.0,
nm0000680,Casper Van Dien,1968.0,
nm0000682,Paul Verhoeven,1938.0,
nm0000691,John Waters,1946.0,
nm0000694,Wim Wenders,1945.0,
nm0000697,Billy Wilder,1906.0,2002.0
nm0000698,Gene Wilder,1933.0,2016.0
nm0000709,Robert Zemeckis,1951.0,
nm0000713,Joel Oliansky,1935.0,2002.0
nm0000720,Jim Abrahams,1944.0,
nm0000725,Joey Lauren Adams,1968.0,
nm0000727,Percy Adlon,1935.0,
nm0000729,Casey Affleck,1975.0,
nm0000736,Robert Aldrich,1918.0,1983.0
nm0000740,Irwin Allen,1916.0,1991.0
nm0000750,Jon Amiel,1948.0,
nm0000755,Lindsay Anderson,1923.0,1994.0
nm0000759,Paul Thomas Anderson,1970.0,
nm0000766,Theodoros Angelopoulos,1935.0,2012.0
nm0000770,David Anspaugh,1946.0,
nm0000774,Michelangelo Antonioni,1912.0,2007.0
nm0000776,Michael Apted,1941.0,2021.0
nm0000777,Gregg Araki,1959.0,
nm0000778,Alfonso Arau,1932.0,
nm0000779,Roscoe 'Fatty' Arbuckle,1887.0,1933.0
nm0000780,Denys Arcand,1941.0,
nm0000782,Asia Argento,1975.0,
nm0000783,Dario Argento,1940.0,
nm0000786,George Armitage,1942.0,
nm0000788,Gillian Armstrong,1950.0,
nm0000791,Jack Arnold,1912.0,1992.0
nm0000797,Hal Ashby,1929.0,1988.0
nm0000801,Olivier Assayas,1955.0,
nm0000806,Bille August,1948.0,
nm0000808,Paul Auster,1947.0,
nm0000809,Daniel Auteuil,1950.0,
nm0000812,Roger Avary,1965.0,
nm0000814,John G. Avildsen,1935.0,2017.0
nm0000816,Jon Avnet,1949.0,
nm0000824,John Badham,1939.0,
nm0000829,Stuart Baird,1947.0,
nm0000835,Ralph Bakshi,1938.0,
nm0000837,Bob Balaban,1945.0,
nm0000841,Michael Ballhaus,1935.0,2017.0
nm0000843,Anne Bancroft,1931.0,2005.0
nm0000850,Clive Barker,1952.0,
nm0000852,Jean-Marc Barr,1960.0,
nm0000853,Bruno Barreto,1955.0,
nm0000859,Lionel Barrymore,1878.0,1954.0
nm0000860,Paul Bartel,1938.0,2000.0
nm0000866,Saul Bass,1920.0,1996.0
nm0000867,Jason Bateman,1969.0,
nm0000871,Randall Batinkoff,1968.0,
nm0000876,Noah Baumbach,1969.0,
nm0000877,Lamberto Bava,1944.0,
nm0000878,Mario Bava,1914.0,1980.0
nm0000881,Michael Bay,1965.0,
nm0000886,Warren Beatty,1937.0,
nm0000887,Harold Becker,1928.0,
nm0000894,Jean-Jacques Beineix,1946.0,
nm0000905,Roberto Benigni,1952.0,
nm0000907,Richard Benjamin,1938.0,
nm0000914,Robert Benton,1932.0,
nm0000915,Bruce Beresford,1940.0,
nm0000916,Peter Berg,1964.0,
nm0000921,Andrew Bergman,1945.0,
nm0000923,Busby Berkeley,1895.0,1976.0
nm0000929,Corbin Bernsen,1954.0,
nm0000934,Bernardo Bertolucci,1941.0,2018.0
nm0000940,Bigas Luna,1946.0,2013.0
nm0000941,Kathryn Bigelow,1951.0,
nm0000944,Antonia Bird,1951.0,2013.0
nm0000948,Shane Black,1961.0,
nm0000952,Hart Bochner,1956.0,
nm0000953,Peter Bogdanovich,1939.0,
nm0000957,Jan de Bont,1943.0,
nm0000958,John Boorman,1933.0,
nm0000965,Danny Boyle,1956.0,
nm0000972,Tinto Brass,1933.0,
nm0000975,Robert Bresson,1901.0,1999.0
nm0000976,Martin Brest,1951.0,
nm0000981,James Brolin,1940.0,
nm0000983,Albert Brooks,1947.0,
nm0000985,James L. Brooks,1940.0,
nm0001001,James Caan,1940.0,
nm0001003,Simon Callow,1949.0,
nm0001005,Jane Campion,1954.0,
nm0001008,Frank Capra,1897.0,1991.0
nm0001015,Robert Carlyle,1961.0,
nm0001023,John Cassavetes,1929.0,1989.0
nm0001024,Nick Cassavetes,1959.0,
nm0001031,Claude Chabrol,1930.0,2010.0
nm0001040,Joan Chen,1961.0,
nm0001045,Tommy Chong,1938.0,
nm0001047,Michael Cimino,1939.0,2016.0
nm0001053,Ethan Coen,1957.0,
nm0001054,Joel Coen,1954.0,
nm0001060,Chris Columbus,1958.0,
nm0001063,Jeff Conaway,1950.0,2011.0
nm0001064,Jason Connery,1963.0,
nm0001068,Sofia Coppola,1971.0,
nm0001070,Bill Cosby,1937.0,
nm0001073,Courteney Cox,1964.0,
nm0001081,Cameron Crowe,1957.0,
nm0001084,Ice Cube,1969.0,
nm0001086,Alan Cumming,1965.0,
nm0001090,Joe D'Amato,1936.0,1999.0
nm0001092,Mark Dacascos,1964.0,
nm0001093,John Dahl,1956.0,
nm0001097,Charles Dance,1946.0,
nm0001099,Jeff Daniels,1955.0,
nm0001102,Joe Dante,1946.0,
nm0001104,Frank Darabont,1959.0,
nm0001108,Robert Davi,1951.0,
nm0001112,Andrew Davis,1946.0,
nm0001115,Ossie Davis,1917.0,2005.0
nm0001120,Vittorio De Sica,1901.0,1974.0
nm0001123,Dom DeLuise,1933.0,2009.0
nm0001124,Cecil B. DeMille,1881.0,1959.0
nm0001128,Alain Delon,1935.0,
nm0001129,Jonathan Demme,1944.0,2017.0
nm0001130,Ted Demme,1963.0,2002.0
nm0001135,John Derek,1926.0,1998.0
nm0001139,Tom DiCillo,1953.0,
nm0001149,Richard Donner,1930.0,2021.0
nm0001162,Griffin Dunne,1955.0,
nm0001165,Charles S. Dutton,1951.0,
nm0001168,Bob Dylan,1941.0,
nm0001175,Blake Edwards,1922.0,2010.0
nm0001177,Chris Eigeman,1965.0,
nm0001178,Sergei M. Eisenstein,1898.0,1948.0
nm0001188,Nora Ephron,1941.0,2012.0
nm0001192,John Mark Robinson,1949.0,
nm0001202,Rainer Werner Fassbinder,1945.0,1982.0
nm0001204,Marty Feldman,1934.0,1982.0
nm0001206,Abel Ferrara,1951.0,
nm0001207,José Ferrer,1912.0,1992.0
nm0001214,Mike Figgis,1948.0,
nm0001215,Albert Finney,1936.0,2019.0
nm0001219,Gary Fleder,1965.0,
nm0001226,James Foley,1953.0,
nm0001228,Peter Fonda,1940.0,2019.0
nm0001232,Milos Forman,1932.0,2018.0
nm0001233,Robert Forster,1941.0,2019.0
nm0001238,Jesús Franco,1930.0,2013.0
nm0001239,John Frankenheimer,1930.0,2002.0
nm0001241,Stephen Frears,1941.0,
nm0001243,William Friedkin,1935.0,
nm0001252,Vincent Gallo,1961.0,
nm0001270,Brian Gibson,1944.0,2004.0
nm0001274,Paul Michael Glaser,1943.0,
nm0001281,Bobcat Goldthwait,1962.0,
nm0001282,Tony Goldwyn,1960.0,
nm0001287,Heather Graham,1970.0,
nm0001290,Richard E. Grant,1957.0,
nm0001293,Seth Green,1974.0,
nm0001302,Christopher Guest,1948.0,
nm0001306,Larry Hagman,1931.0,2012.0
nm0001309,Anthony Michael Hall,1968.0,
nm0001317,Renny Harlin,1959.0,
nm0001321,Richard Harris,1930.0,2002.0
nm0001325,Hal Hartley,1959.0,
nm0001328,Howard Hawks,1896.0,1977.0
nm0001331,Todd Haynes,1961.0,
nm0001338,Brian Helgeland,1961.0,
nm0001345,Jim Henson,1936.0,1990.0
nm0001348,Werner Herzog,1942.0,
nm0001351,George Roy Hill,1921.0,2002.0
nm0001352,Terence Hill,1939.0,
nm0001353,Walter Hill,1942.0,
nm0001355,Michael Hoffman,1956.0,
nm0001361,Tobe Hooper,1943.0,2017.0
nm0001366,Leslie Howard,1893.0,1943.0
nm0001372,Bonnie Hunt,1961.0,
nm0001378,Anjelica Huston,1951.0,
nm0001379,John Huston,1906.0,1987.0
nm0001382,Peter Hyams,1943.0,
nm0001385,Eric Idle,1943.0,
nm0001392,Peter Jackson,1961.0,
nm0001401,Angelina Jolie,1975.0,
nm0001402,Terry Jones,1942.0,2020.0
nm0001403,Neil Jordan,1950.0,
nm0001405,Janusz Kaminski,1959.0,
nm0001408,Shekhar Kapur,1945.0,
nm0001410,Lawrence Kasdan,1949.0,
nm0001411,William Katt,1951.0,
nm0001415,Elia Kazan,1909.0,2003.0
nm0001418,David Keith,1954.0,
nm0001425,Krzysztof Kieslowski,1941.0,1996.0
nm0001427,Greg Kinnear,1963.0,
nm0001429,Takeshi Kitano,1947.0,
nm0001437,Emir Kusturica,1954.0,
nm0001438,Neil LaBute,1963.0,
nm0001441,Christine Lahti,1950.0,
nm0001452,Charles Laughton,1899.0,1962.0
nm0001454,Martin Lawrence,1965.0,
nm0001460,Mimi Leder,1952.0,
nm0001466,Sergio Leone,1929.0,1989.0
nm0001467,Jared Leto,1971.0,
nm0001469,Barry Levinson,1942.0,
nm0001471,Jerry Lewis,1926.0,2017.0
nm0001486,Sidney Lumet,1924.0,2011.0
nm0001490,Adrian Lyne,1941.0,
nm0001500,Karl Malden,1912.0,2009.0
nm0001501,Louis Malle,1932.0,1995.0
nm0001502,Luis Mandoki,1954.0,
nm0001505,Joe Mantegna,1947.0,
nm0001507,Cheech Marin,1946.0,
nm0001508,Penny Marshall,1943.0,2018.0
nm0001515,Joseph Mazzello,1983.0,
nm0001522,Roddy McDowall,1928.0,1998.0
nm0001528,Don McKellar,1963.0,
nm0001532,John McTiernan,1951.0,
nm0001537,Ray Milland,1907.0,1986.0
nm0001548,Rick Moranis,1953.0,
nm0001554,Errol Morris,1948.0,
nm0001555,Rob Morrow,1962.0,
nm0001565,Mike Newell,1942.0,
nm0001566,Mike Nichols,1931.0,2014.0
nm0001570,Edward Norton,1969.0,
nm0001579,Edward James Olmos,1947.0,
nm0001587,Alan J. Pakula,1928.0,1998.0
nm0001590,Chazz Palminteri,1952.0,
nm0001591,Bruce Paltrow,1943.0,2002.0
nm0001596,Pier Paolo Pasolini,1922.0,1975.0
nm0001603,Sam Peckinpah,1925.0,1984.0
nm0001614,Lori Petty,1963.0,
nm0001617,Lou Diamond Phillips,1962.0,
nm0001627,Sidney Poitier,1927.0,
nm0001628,Sydney Pollack,1934.0,2008.0
nm0001629,Kevin Pollak,1957.0,
nm0001631,Sarah Polley,1979.0,
nm0001639,Alex Proyas,1963.0,
nm0001640,Richard Pryor,1940.0,2005.0
nm0001641,Vincent Perez,1964.0,
nm0001650,Michael Rapaport,1970.0,
nm0001661,Rob Reiner,1947.0,
nm0001672,Joan Rivers,1933.0,2014.0
nm0001674,Chris Rock,1965.0,
nm0001675,Robert Rodriguez,1968.0,
nm0001676,Nicolas Roeg,1928.0,2018.0
nm0001681,George A. Romero,1940.0,2017.0
nm0001692,Ken Russell,1927.0,2011.0
nm0001700,Nancy Savoca,1959.0,
nm0001703,Maximilian Schell,1930.0,2014.0
nm0001705,Rob Schneider,1963.0,
nm0001707,Paul Schrader,1946.0,
nm0001708,Joel Schumacher,1939.0,2020.0
nm0001709,Til Schweiger,1963.0,
nm0001710,David Schwimmer,1966.0,
nm0001714,Campbell Scott,1961.0,
nm0001715,George C. Scott,1927.0,1999.0
nm0001716,Tony Scott,1944.0,2012.0
nm0001723,Tom Shadyac,1958.0,
nm0001731,Sam Shepard,1943.0,2017.0
nm0001736,Pauly Shore,1968.0,
nm0001738,Jonathan Silverman,1966.0,
nm0001741,Bryan Singer,1965.0,
nm0001747,Charles Martin Smith,1953.0,
nm0001752,Steven Soderbergh,1963.0,
nm0001754,Todd Solondz,1959.0,
nm0001756,Barry Sonnenfeld,1953.0,
nm0001757,Kevin Sorbo,1958.0,
nm0001770,Fisher Stevens,1963.0,
nm0001774,Ben Stiller,1965.0,
nm0001775,Whit Stillman,1952.0,
nm0001777,Dean Stockwell,1936.0,
nm0001779,Tom Stoppard,1937.0,
nm0001789,Andrei Tarkovsky,1932.0,1986.0
nm0001800,Rip Torn,1931.0,2019.0
nm0001801,Robert Towne,1934.0,
nm0001804,Stanley Tucci,1960.0,
nm0001806,John Turturro,1957.0,
nm0001811,Peter Ustinov,1921.0,2004.0
nm0001814,Gus Van Sant,1952.0,
nm0001824,Ally Walker,1961.0,
nm0001829,Rachel Ward,1957.0,
nm0001837,Peter Weir,1944.0,
nm0001843,James Whale,1889.0,1957.0
nm0001844,Frank Whaley,1963.0,
nm0001845,Forest Whitaker,1961.0,
nm0001857,Henry Winkler,1945.0,
nm0001873,Steven Zaillian,1953.0,
nm0001874,Franco Zeffirelli,1923.0,2019.0
nm0001878,David Zucker,1947.0,
nm0001879,Daphne Zuniga,1962.0,
nm0001880,Edward Zwick,1952.0,
nm0001885,Lars von Trier,1956.0,
nm0001887,Paul Brickman,1949.0,
nm0001888,Robert Douglas,1909.0,1999.0
nm0001901,Chantal Akerman,1950.0,2015.0
nm0001904,Corey Allen,1934.0,2010.0
nm0001905,Yves Allégret,1905.0,1987.0
nm0001915,Emile Ardolino,1943.0,1993.0
nm0001928,Roy Ward Baker,1916.0,2010.0
nm0001929,Josiane Balasko,1950.0,
nm0001942,Luca Bercovici,1957.0,
nm0001945,Claude Berri,1934.0,2009.0
nm0001949,Andrew Birkin,1945.0,
nm0001960,Romane Bohringer,1973.0,
nm0001962,Lizzie Borden,1958.0,
nm0001970,Klaus Maria Brandauer,1943.0,
nm0001988,Marc Caro,1956.0,
nm0001994,Michael Caton-Jones,1957.0,
nm0002006,Thomas Haden Church,1960.0,
nm0002010,Christian Clavier,1952.0,
nm0002016,William Conrad,1920.0,1994.0
nm0002020,Costa-Gavras,1933.0,
nm0002030,George Cukor,1899.0,1983.0
nm0002031,Michael Curtiz,1886.0,1962.0
nm0002041,Dean Devlin,1962.0,
nm0002044,Roger Donaldson,1945.0,
nm0002045,Stanley Donen,1924.0,2019.0
nm0002049,Robert Downey Sr.,1936.0,2021.0
nm0002055,Alison Eastwood,1972.0,
nm0002061,Maurice Elvey,1887.0,1967.0
nm0002064,Giancarlo Esposito,1958.0,
nm0002072,Mel Ferrer,1917.0,2008.0
nm0002076,Jason Flemyng,1966.0,
nm0002077,Dexter Fletcher,1966.0,
nm0002080,Bob Fosse,1927.0,1987.0
nm0002083,Carl Franklin,1949.0,
nm0002086,Lucio Fulci,1927.0,1996.0
nm0002087,Samuel Fuller,1912.0,1997.0
nm0002089,Sidney J. Furie,1933.0,
nm0002094,Vittorio Gassman,1922.0,2000.0
nm0002116,Paul Guilfoyle,1902.0,1961.0
nm0002120,Lasse Hallström,1946.0,
nm0002131,Laurence Harvey,1928.0,1973.0
nm0002132,Amy Heckerling,1954.0,
nm0002134,Paul Henreid,1908.0,1992.0
nm0002137,Arthur Hiller,1923.0,2016.0
nm0002140,Agnieszka Holland,1948.0,
nm0002146,James Wong Howe,1899.0,1976.0
nm0002153,Jack Cardiff,1914.0,2009.0
nm0002156,Tengiz Abuladze,1924.0,1994.0
nm0002159,Alejandro Agresti,1961.0,
nm0002160,Moustapha Akkad,1930.0,2005.0
nm0002165,Marc Allégret,1900.0,1973.0
nm0002166,John A. Alonzo,1934.0,2001.0
nm0002167,Gianni Amelio,1945.0,
nm0002171,Franco Amurri,1958.0,
nm0002172,Mukul Anand,1951.0,1997.0
nm0002173,Laurie Anderson,1947.0,
nm0002174,Yves Angelo,1956.0,
nm0002175,Ken Annakin,1914.0,2009.0
nm0002178,Alexandre Arcady,1947.0,
nm0002179,George Archainbaud,1890.0,1959.0
nm0002180,Francesca Archibugi,1960.0,
nm0002184,Vic Armstrong,1946.0,
nm0002188,Dorothy Arzner,1897.0,1979.0
nm0002189,Giuliano Carnimeo,1932.0,2016.0
nm0002190,Anthony Asquith,1902.0,1968.0
nm0002191,Jacques Audiard,1952.0,
nm0002192,Michel Audiard,1920.0,1985.0
nm0002193,Claude Autant-Lara,1901.0,2000.0
nm0002194,Pupi Avati,1938.0,
nm0002195,Hy Averback,1920.0,1997.0
nm0002196,Gabriel Axel,1918.0,2014.0
nm0002199,Hector Babenco,1946.0,2016.0
nm0002206,Kevin Brownlow,1938.0,
nm0002207,Richard Franklin,1948.0,2007.0
nm0002216,Yves Robert,1920.0,2002.0
nm0002218,Claude Miller,1942.0,2012.0
nm0002224,James Moll,,
nm0002225,Axel Sand,1961.0,
nm0002233,Erich von Stroheim,1885.0,1957.0
nm0002239,Prince,1958.0,2016.0
nm0002240,Katt Shea,1956.0,
nm0002252,David A. Armstrong,,
nm0002253,John Carroll Lynch,1963.0,
nm0002254,King Hu,1931.0,1997.0
nm0002271,Rex Ingram,1892.0,1950.0
nm0002312,Obie Benz,1949.0,
nm0002337,Roger Christian,1944.0,
nm0002338,Jack Clayton,1921.0,1995.0
nm0002339,Allen Coulter,,
nm0002340,Stuart Gordon,1947.0,2020.0
nm0002376,David Hare,1947.0,
nm0002382,Paul Chart,1961.0,
nm0002384,Samuel Vartek,1969.0,
nm0002413,David Jackson,,
nm0002416,John O'Hagan,1968.0,
nm0002417,Daniel Pyne,,
nm0002433,Scott Smith,,
nm0002459,T.C. Christensen,,
nm0002478,Ernst Gossner,,
nm0002542,Terry O. Morse,1906.0,1984.0
nm0002545,Preston Sturges,1898.0,1959.0
nm0002569,Carl Koch,1892.0,1963.0
nm0002573,Bill Corcoran,,
nm0002606,David Price,1961.0,
nm0002645,Paolo Genovese,1966.0,
nm0002653,Joe Johnston,1950.0,
nm0002657,Gary Ross,1956.0,
nm0002692,Joshua Tunick,1977.0,
nm0002699,Xavier Koller,1944.0,
nm0002700,Malcolm D. Lee,1970.0,
nm0002709,Richard Clabaugh,1960.0,
nm0002718,Brian Koppelman,1966.0,
nm0002726,Roger Young,1942.0,
nm0002728,Juan José Campanella,1959.0,
nm0002739,Daniel Geller,,
nm0002749,Michael Nankin,1955.0,
nm0002758,Jean-Claude Schlim,1963.0,
nm0002793,Antony Thomas,1940.0,
nm0002797,Ricardo Franco,1949.0,1998.0
nm0002814,Christopher Leone,1971.0,
nm0002815,Pedro Lazaga,1918.0,1979.0
nm0002835,Adam Bernstein,1960.0,
nm0002840,Reuben Gonzalez,,
nm0002848,Stephan Brenninkmeijer,1964.0,
nm0002887,Alan Myerson,1936.0,
nm0002892,Wally Pfister,1961.0,
nm0002893,Linda Shayne,,
nm0002913,Chris Jaymes,1973.0,
nm0002916,Ray Brady,1961.0,
nm0002923,Ezekiel Norton,1970.0,
nm0002948,Costas Ferris,1935.0,
nm0002973,Lev L. Spiro,,
nm0002989,Andrew Stevens,1955.0,
nm0003021,Chris McKay,,
nm0003029,Isabelle Broué,1968.0,
nm0003031,Caroline Thompson,1956.0,
nm0003039,Alan Ari Lazar,1967.0,
nm0003080,Rachel Talalay,1958.0,
nm0003085,Alan Roberts,,2016.0
nm0003088,Chris Noonan,1952.0,
nm0003116,Anthony C. Ferrante,,
nm0003131,Jon Kroll,,
nm0003150,Michael Katleman,1960.0,
nm0003152,Sean McGinly,,
nm0003160,Christopher McQuarrie,1968.0,
nm0003165,Corrado Farina,1939.0,2016.0
nm0003201,Tim Sullivan,1958.0,
nm0003203,Mel Welles,1924.0,2005.0
nm0003204,Ernst Ritter von Theumer,1926.0,
nm0003206,Clay Westervelt,1973.0,
nm0003209,Martin Kunert,1974.0,
nm0003226,Kenji Mizoguchi,1898.0,1956.0
nm0003229,Roger Cardinal,,2017.0
nm0003244,Jordi Mollà,1968.0,
nm0003289,John Putch,1961.0,
nm0003313,Lynne Littman,1941.0,
nm0003332,Julian Richards,1965.0,
nm0003343,Rob Schmidt,1965.0,
nm0003355,Christopher Monger,1950.0,
nm0003369,Karin Howard,,
nm0003373,James P. Hogan,1890.0,1943.0
nm0003389,Kandice King,,
nm0003394,Lawrence Sher,1970.0,
nm0003400,Joram Lürsen,1963.0,
nm0003403,Timothy Bond,1942.0,
